| Mean Transition Probabilities | I      | bII    | II     | bIII   | III    | IV     | bV     | V      | bVI    | VI     | bVII   | VII    |
| bIII                                           | 0.0034-0.0164  | 0.001-0.0122   | -0.0007-0.002  | 0.0116-0.0314 | 0.0021-0.0139  | -0.0013-0.0041 | 0.0-0.0        | -0.0003-0.0049 | 0.0238-0.0493  | -0.0008-0.0046 | 0.0045-0.0183  | 0.0128-0.0332  |
| III                                            | -0.0001-0.0086 | 0.0085-0.0275  | 0.0427-0.0763  | 0.0068-0.0236 | 0.0043-0.0193  | 0.0219-0.0479  | -0.0013-0.0041 | 0.0-0.0        | -0.0013-0.0041 | 0.0-0.0        | 0.0-0.0        | -0.0001-0.0005 |
| IV                                             | 0.1392-0.1874  | 0.0158-0.0366  | 0.0095-0.0269  | 0.1675-0.22   | 0.109-0.1532   | 0.0021-0.0123  | -0.0004-0.0014 | -0.0002-0.0005 | 0.0045-0.0175  | 0.0015-0.0116  | 0.003-0.0124   | 0.0148-0.0346  |
| bV                                             | -0.0005-0.0082 | 0.0-0.0        | 0.0-0.0        | 0.0001-0.0108 | 0.0019-0.0151  | 0.0-0.0        | -0.0013-0.0041 | 0.0007-0.012   | -0.001-0.0051  | -0.0005-0.0088 | -0.0005-0.0028 | 0.0-0.0        |
| V                                              | 0.1058-0.1502  | 0.0045-0.0169  | 0.0039-0.0174  | 0.0422-0.0746 | 0.2393-0.3     | 0.0056-0.0176  | -0.0001-0.0036 | 0.0-0.0        | 0.0004-0.0102  | -0.0-0.0025    | 0.0059-0.0224  | 0.0012-0.0125  |
| bVI                                            | 0.0031-0.0169  | 0.0-0.0        | -0.0001-0.0003 | 0.0029-0.0166 | 0.013-0.0341   | -0.0013-0.0041 | -0.0007-0.002  | -0.0008-0.0068 | 0.0033-0.0161  | -0.0011-0.0045 | 0.0305-0.0597  | 0.0179-0.0403  |
| VI                                             | 0.0092-0.0285  | 0.0252-0.0517  | 0.0075-0.0242  | 0.0248-0.0514 | 0.0084-0.0253  | 0.0614-0.0991  | -0.0001-0.0073 | 0.0-0.0        | -0.0002-0.0005 | -0.0003-0.001  | -0.0011-0.0065 | -0.0007-0.0071 |
| bVII                                           | 0.0318-0.0606  | -0.0007-0.007  | -0.0011-0.0065 | 0.0297-0.0586 | 0.0114-0.0318  | 0.0024-0.0149  | -0.0004-0.0014 | -0.0013-0.0041 | 0.0036-0.0163  | 0.0-0.0        | 0.0049-0.0194  | 0.0463-0.0798  |
| VII                                            | 0.0009-0.0128  | 0.0-0.0        | 0.004-0.0193   | 0.0-0.0       | -0.0002-0.0007 | -0.0005-0.0074 | 0.0031-0.0175  | 0.0-0.0        | 0.0-0.0        | 0.0-0.0        | 0.0-0.0        | -0.001-0.0047  |


| Confidence Interval Transitional Probabilities | I             | bII            | II             | bIII           | III           | IV             | bV             | V              | bVI            | VI             | bVII           | VII            |
| (Bar Phrase 4 of 4)                            |               |                |                |                |               |                |                |                |                |                |                |                |
|------------------------------------------------|---------------|----------------|----------------|----------------|---------------|----------------|----------------|----------------|----------------|----------------|----------------|----------------|
| I                                              | 0.2969-0.3498 | 0.0329-0.0549  | 0.005-0.0177   | 0.1689-0.2123  | 0.0842-0.118  | 0.0241-0.0445  | 0.0003-0.0068  | 0.0005-0.0046  | 0.0075-0.0199  | -0.0005-0.0054 | 0.0161-0.0338  | 0.0221-0.0435  |
| bII                                            | 0.0132-0.0351 | -0.0003-0.001  | -0.0013-0.0041 | -0.0003-0.0014 | 0.0001-0.0106 | 0.0-0.0        | 0.0-0.0        | 0.0003-0.0086  | -0.0009-0.0067 | -0.0004-0.0061 | 0.0002-0.0087  | -0.0013-0.0041 |
| II                                             | 0.0542-0.0892 | 0.015-0.0343   | 0.0057-0.0198  | 0.017-0.0384   | 0.0654-0.1031 | 0.0045-0.0172  | -0.0003-0.001  | 0.0019-0.0139  | -0.0003-0.0068 | 0.0-0.0        | -0.0003-0.0032 | 0.0014-0.0123  |
| bIII                                           | 0.0172-0.04   | 0.0033-0.0178  | -0.0011-0.0065 | 0.0181-0.0416  | 0.0006-0.0084 | -0.0013-0.0041 | 0.0-0.0        | -0.0006-0.0056 | 0.0073-0.0242  | -0.001-0.0045  | 0.0077-0.0234  | 0.0089-0.028   |
| III                                            | 0.0063-0.0217 | 0.0092-0.0276  | 0.0018-0.0116  | 0.0238-0.0502  | 0.0022-0.0148 | 0.0433-0.0759  | -0.0011-0.0044 | -0.001-0.0047  | -0.0006-0.0075 | -0.0005-0.0088 | -0.0013-0.0041 | -0.0013-0.0041 |
| IV                                             | 0.2378-0.2957 | 0.0151-0.0347  | 0.0042-0.0161  | 0.0323-0.0556  | 0.0977-0.1395 | 0.0076-0.0218  | 0.0-0.0        | -0.0007-0.002  | 0.0066-0.0216  | -0.0006-0.0053 | 0.0034-0.0121  | 0.0175-0.0398  |
| bV                                             | 0.0014-0.0137 | -0.0011-0.0065 | -0.0011-0.0065 | 0.0001-0.0109  | 0.0006-0.0117 | -0.0013-0.0041 | -0.0011-0.0065 | -0.0005-0.0088 | 0.0-0.0        | 0.0-0.0        | -0.0005-0.0081 | -0.0003-0.001  |
| V                                              | 0.3865-0.4488 | 0.0211-0.0407  | 0.0066-0.0185  | 0.0721-0.1049  | 0.046-0.0722  | 0.0163-0.0329  | -0.0001-0.001  | -0.0003-0.0017 | 0.0008-0.0067  | -0.0004-0.0021 | 0.0074-0.0205  | 0.0021-0.0112  |
| bVI                                            | 0.0283-0.0547 | 0.0-0.0        | 0.0-0.0        | 0.0016-0.0112  | 0.013-0.0345  | 0.0005-0.0098  | 0.0-0.0        | 0.0037-0.0184  | 0.006-0.0208   | -0.0004-0.0061 | 0.0038-0.0161  | 0.0179-0.0412  |
| VI                                             | 0.0253-0.0503 | 0.0466-0.079   | 0.0023-0.0132  | 0.0453-0.0772  | 0.0238-0.0485 | 0.0137-0.0323  | -0.0009-0.0051 | -0.0013-0.0041 | -0.0003-0.001  | 0.0-0.0        | 0.0-0.0        | 0.0023-0.0156  |
| bVII                                           | 0.075-0.1133  | 0.0-0.0086     | 0.0-0.0        | 0.0366-0.066   | 0.006-0.0212  | 0.0037-0.0178  | 0.0007-0.0103  | -0.0007-0.0059 | 0.0063-0.0208  | 0.0-0.0        | 0.0077-0.0213  | 0.0038-0.014   |
| VII                                            | 0.0026-0.0161 | -0.0013-0.0041 | 0.0028-0.0164  | -0.001-0.0051  | 0.0-0.0       | -0.0003-0.0079 | -0.0011-0.0045 | 0.0-0.0        | -0.0009-0.0055 | -0.0013-0.0041 | 0.0-0.0        | -0.0013-0.0041 |

| Confidence Interval Transitional Probabilities No Zero | I             | bII            | II             | bIII           | III            | IV            | bV             | V              | bVI            | VI             | bVII           | VII            |
| (Bar Phrase 1 of 4)                                    |               |                |                |                |                |               |                |                |                |                |                |                |
|--------------------------------------------------------|---------------|----------------|----------------|----------------|----------------|---------------|----------------|----------------|----------------|----------------|----------------|----------------|
| I                                                      | 0.6879-0.7468 | 0.4499-0.629   | 0.3709-0.5921  | 0.5048-0.5948  | 0.4775-0.5906  | 0.5283-0.6833 | -0.0144-0.8404 | -0.3045-0.8359 | 0.321-0.5538   | 0.007-0.6121   | 0.1796-0.4493  | 0.3966-0.5557  |
| bII                                                    | 1.0-1.0       | nan-nan        | nan-nan        | -0.3257-1.8257 | nan-nan        | nan-nan       | nan-nan        | 0.726-1.0285   | 1.0-1.0        | 0.1415-1.3918  | 0.2359-1.2041  | nan-nan        |
| II                                                     | 0.6154-0.8939 | 0.7452-0.8724  | 0.5573-0.9106  | 0.6044-0.8976  | 0.6518-0.8062  | 0.6522-1.0026 | 0.8036-1.1223  | -4.1398-5.3898 | 0.1336-1.0838  | -0.1422-1.9755 | nan-nan        | -0.1179-1.3401 |
| bIII                                                   | 0.5743-1.1369 | 1.0-1.0        | -4.9965-6.1215 | 0.7513-1.0188  | 0.4025-1.3118  | nan-nan       | nan-nan        | nan-nan        | 0.7776-0.9655  | -3.5687-4.9021 | 0.4758-0.8732  | 0.6472-1.009   |
| III                                                    | 1.0-1.0       | 0.6238-1.0762  | 0.8404-1.0022  | 0.5834-1.0332  | 0.1691-1.0309  | 0.7858-0.9606 | 1.0-1.0        | nan-nan        | -0.1784-1.7339 | nan-nan        | nan-nan        | nan-nan        |
| IV                                                     | 0.6994-0.8068 | 0.4194-0.8173  | 0.5383-0.8508  | 0.791-0.8681   | 0.6834-0.8071  | 0.2566-1.007  | nan-nan        | nan-nan        | 0.3648-0.7263  | -0.2253-1.1701 | 0.1821-1.0143  | 0.4621-0.7237  |
| bV                                                     | nan-nan       | nan-nan        | nan-nan        | 1.0-1.0        | 0.1162-1.5504  | nan-nan       | 1.0-1.0        | 0.6515-1.1819  | nan-nan        | 1.0-1.0        | -0.1784-1.7339 | nan-nan        |
| V                                                      | 0.7158-0.8562 | 0.4936-0.7775  | 0.5145-0.9855  | 0.7887-0.8966  | 0.7787-0.8709  | 0.4749-0.7722 | nan-nan        | nan-nan        | 0.3543-1.0419  | -0.3501-1.1755 | 0.5159-0.9233  | 0.5964-1.0312  |
| bVI                                                    | 0.6198-1.1984 | nan-nan        | nan-nan        | -0.473-1.9174  | 0.5462-1.0008  | 1.0-1.0       | nan-nan        | 0.4807-1.2443  | 0.3428-1.0155  | -0.3928-1.5102 | 0.7423-0.9697  | 0.902-1.0061   |
| VI                                                     | 0.7568-1.0037 | 0.7208-0.8858  | 0.6363-0.9133  | 0.7934-0.9517  | 0.6164-0.9022  | 0.7856-0.914  | -2.464-3.1951  | nan-nan        | nan-nan        | nan-nan        | 1.0-1.0        | 0.4812-1.1126  |
| bVII                                                   | 0.7788-0.9491 | -2.4266-3.9266 | nan-nan        | 0.8562-0.9898  | 0.619-1.044    | 1.0-1.0       | nan-nan        | nan-nan        | 0.5999-0.9973  | nan-nan        | 0.4474-1.0048  | 0.755-0.9495   |
| VII                                                    | nan-nan       | nan-nan        | 0.6224-1.1776  | nan-nan        | -2.3035-2.8945 | 0.1414-1.4647 | 0.6815-1.0685  | nan-nan        | nan-nan        | 1.0-1.0        | nan-nan        | nan-nan        |

| Confidence Interval Transitional Probabilities No Zero | I             | bII            | II             | bIII           | III            | IV            | bV             | V              | bVI            | VI             | bVII           | VII            |
| (Bar Phrase 2 of 4)                                    |               |                |                |                |                |               |                |                |                |                |                |                |
|--------------------------------------------------------|---------------|----------------|----------------|----------------|----------------|---------------|----------------|----------------|----------------|----------------|----------------|----------------|
| I                                                      | 0.6879-0.7468 | 0.4499-0.629   | 0.3709-0.5921  | 0.5048-0.5948  | 0.4775-0.5906  | 0.5283-0.6833 | -0.0144-0.8404 | -0.3045-0.8359 | 0.321-0.5538   | 0.007-0.6121   | 0.1796-0.4493  | 0.3966-0.5557  |
| bII                                                    | 1.0-1.0       | nan-nan        | nan-nan        | -0.3257-1.8257 | nan-nan        | nan-nan       | nan-nan        | 0.726-1.0285   | 1.0-1.0        | 0.1415-1.3918  | 0.2359-1.2041  | nan-nan        |
| II                                                     | 0.6154-0.8939 | 0.7452-0.8724  | 0.5573-0.9106  | 0.6044-0.8976  | 0.6518-0.8062  | 0.6522-1.0026 | 0.8036-1.1223  | -4.1398-5.3898 | 0.1336-1.0838  | -0.1422-1.9755 | nan-nan        | -0.1179-1.3401 |
| bIII                                                   | 0.5743-1.1369 | 1.0-1.0        | -4.9965-6.1215 | 0.7513-1.0188  | 0.4025-1.3118  | nan-nan       | nan-nan        | nan-nan        | 0.7776-0.9655  | -3.5687-4.9021 | 0.4758-0.8732  | 0.6472-1.009   |
| III                                                    | 1.0-1.0       | 0.6238-1.0762  | 0.8404-1.0022  | 0.5834-1.0332  | 0.1691-1.0309  | 0.7858-0.9606 | 1.0-1.0        | nan-nan        | -0.1784-1.7339 | nan-nan        | nan-nan        | nan-nan        |
| IV                                                     | 0.6994-0.8068 | 0.4194-0.8173  | 0.5383-0.8508  | 0.791-0.8681   | 0.6834-0.8071  | 0.2566-1.007  | nan-nan        | nan-nan        | 0.3648-0.7263  | -0.2253-1.1701 | 0.1821-1.0143  | 0.4621-0.7237  |
| bV                                                     | nan-nan       | nan-nan        | nan-nan        | 1.0-1.0        | 0.1162-1.5504  | nan-nan       | 1.0-1.0        | 0.6515-1.1819  | nan-nan        | 1.0-1.0        | -0.1784-1.7339 | nan-nan        |
| V                                                      | 0.7158-0.8562 | 0.4936-0.7775  | 0.5145-0.9855  | 0.7887-0.8966  | 0.7787-0.8709  | 0.4749-0.7722 | nan-nan        | nan-nan        | 0.3543-1.0419  | -0.3501-1.1755 | 0.5159-0.9233  | 0.5964-1.0312  |
| bVI                                                    | 0.6198-1.1984 | nan-nan        | nan-nan        | -0.473-1.9174  | 0.5462-1.0008  | 1.0-1.0       | nan-nan        | 0.4807-1.2443  | 0.3428-1.0155  | -0.3928-1.5102 | 0.7423-0.9697  | 0.902-1.0061   |
| VI                                                     | 0.7568-1.0037 | 0.7208-0.8858  | 0.6363-0.9133  | 0.7934-0.9517  | 0.6164-0.9022  | 0.7856-0.914  | -2.464-3.1951  | nan-nan        | nan-nan        | nan-nan        | 1.0-1.0        | 0.4812-1.1126  |
| bVII                                                   | 0.7788-0.9491 | -2.4266-3.9266 | nan-nan        | 0.8562-0.9898  | 0.619-1.044    | 1.0-1.0       | nan-nan        | nan-nan        | 0.5999-0.9973  | nan-nan        | 0.4474-1.0048  | 0.755-0.9495   |
| VII                                                    | nan-nan       | nan-nan        | 0.6224-1.1776  | nan-nan        | -2.3035-2.8945 | 0.1414-1.4647 | 0.6815-1.0685  | nan-nan        | nan-nan        | 1.0-1.0        | nan-nan        | nan-nan        |

| Confidence Interval Transitional Probabilities No Zero | I             | bII            | II            | bIII          | III           | IV            | bV            | V              | bVI            | VI             | bVII           | VII            |
| (Bar Phrase 3 of 4)                                    |               |                |               |               |               |               |               |                |                |                |                |                |
|--------------------------------------------------------|---------------|----------------|---------------|---------------|---------------|---------------|---------------|----------------|----------------|----------------|----------------|----------------|
| I                                                      | 0.7015-0.7612 | 0.4357-0.6654  | 0.4383-0.9064 | 0.5351-0.6288 | 0.4317-0.5547 | 0.4-0.5749    | 0.1413-0.9882 | 0.0189-0.8206  | 0.3154-0.5475  | -2.4266-3.9266 | 0.2717-0.5602  | 0.3842-0.5505  |
| bII                                                    | 0.755-1.051   | 0.0706-1.485   | nan-nan       | nan-nan       | 1.0-1.0       | nan-nan       | nan-nan       | 0.5-0.9969     | nan-nan        | -0.3653-1.532  | 0.5724-1.1276  | nan-nan        |
| II                                                     | 0.5916-0.8719 | 0.7121-0.8639  | 0.3835-0.789  | 0.6801-0.9442 | 0.7677-0.882  | 0.5566-0.9912 | nan-nan       | 0.1252-0.9137  | nan-nan        | 1.0-1.0        | -0.5757-1.5757 | 0.7619-1.0591  |
| bIII                                                   | 0.5237-0.9196 | 0.4846-1.1265  | nan-nan       | 0.6013-0.8934 | 0.4829-0.9755 | nan-nan       | nan-nan       | 0.3165-0.7946  | 0.634-0.8493   | 0.1789-1.2378  | 0.4354-0.8466  | 0.6841-0.9165  |
| III                                                    | 0.3565-1.1935 | 0.8511-1.0299  | 0.8402-0.9694 | 0.62-0.9664   | 0.6964-1.0258 | 0.8307-0.989  | nan-nan       | nan-nan        | nan-nan        | nan-nan        | nan-nan        | nan-nan        |
| IV                                                     | 0.6159-0.7159 | 0.4899-0.7432  | 0.4181-0.7388 | 0.6929-0.7805 | 0.6092-0.7203 | 0.2181-0.6596 | nan-nan       | nan-nan        | 0.2855-0.6605  | 0.2512-0.8061  | 0.2242-0.5234  | 0.4373-0.69    |
| bV                                                     | 0.6465-1.2202 | nan-nan        | nan-nan       | 1.0-1.0       | 0.6061-1.1654 | nan-nan       | nan-nan       | 0.7482-1.1184  | -2.4266-3.9266 | 1.0-1.0        | -0.6422-1.4755 | nan-nan        |
| V                                                      | 0.6574-0.7688 | 0.3137-0.6609  | 0.4306-0.8644 | 0.655-0.8404  | 0.7965-0.8647 | 0.313-0.5762  | 0.055-0.5783  | nan-nan        | 0.203-1.0785   | 0.1022-0.3561  | 0.7065-1.016   | 0.2598-0.9885  |
| bVI                                                    | 0.5888-1.0334 | nan-nan        | nan-nan       | 0.7186-1.0582 | 0.6903-0.9491 | nan-nan       | nan-nan       | -0.4361-1.8945 | 0.3516-0.8275  | -4.1398-5.3898 | 0.7849-0.9483  | 0.5883-0.8283  |
| VI                                                     | 0.6975-1.0206 | 0.7738-0.927   | 0.5586-0.887  | 0.7556-0.9299 | 0.531-0.8391  | 0.7582-0.8918 | 0.2797-1.0328 | nan-nan        | nan-nan        | nan-nan        | 1.0-1.0        | -0.1784-1.7339 |
| bVII                                                   | 0.7181-0.8873 | -0.1822-1.3489 | 1.0-1.0       | 0.7898-0.9535 | 0.6294-0.9475 | 0.4211-0.9826 | nan-nan       | nan-nan        | 0.3441-0.7752  | nan-nan        | 0.4842-0.8816  | 0.7138-0.8723  |
| VII                                                    | 1.0-1.0       | nan-nan        | 0.8163-1.0726 | nan-nan       | nan-nan       | 0.4193-1.2474 | 0.7897-1.0853 | nan-nan        | nan-nan        | nan-nan        | nan-nan        | -3.5687-4.9021 |

| Confidence Interval Transitional Probabilities No Zero | I             | bII           | II            | bIII           | III           | IV            | bV             | V              | bVI            | VI             | bVII          | VII           |
| (Bar Phrase 4 of 4)                                    |               |               |               |                |               |               |                |                |                |                |               |               |
|--------------------------------------------------------|---------------|---------------|---------------|----------------|---------------|---------------|----------------|----------------|----------------|----------------|---------------|---------------|
| I                                                      | 0.54-0.5988   | 0.3235-0.4385 | 0.2539-0.5751 | 0.4524-0.5193  | 0.3884-0.4787 | 0.3512-0.497  | 0.0737-0.5752  | 0.0705-0.3032  | 0.2447-0.4462  | -0.1235-0.8265 | 0.3247-0.5018 | 0.3289-0.5102 |
| bII                                                    | 0.6913-0.9852 | nan-nan       | nan-nan       | -1.1329-1.5238 | 0.9049-1.0496 | nan-nan       | nan-nan        | 0.1751-0.9124  | -0.5466-1.9633 | -0.0579-1.0936 | 0.2344-1.057  | nan-nan       |
| II                                                     | 0.672-0.8217  | 0.4649-0.6924 | 0.3367-0.6969 | 0.4671-0.7207  | 0.6894-0.827  | 0.3455-0.7101 | nan-nan        | 0.6015-1.0414  | -0.0327-0.9771 | nan-nan        | 0.0449-0.6773 | 0.4304-0.9917 |
| bIII                                                   | 0.6908-0.9122 | 0.6278-1.0833 | 1.0-1.0       | 0.6548-0.8993  | 0.2644-0.825  | nan-nan       | nan-nan        | -0.172-1.0924  | 0.5297-0.906   | -0.7921-1.6587 | 0.4424-0.7537 | 0.674-1.0066  |
| III                                                    | 0.5087-0.8548 | 0.6428-0.9345 | 0.3207-0.7666 | 0.7487-0.9382  | 0.5147-1.0389 | 0.7481-0.8913 | -4.3302-5.5524 | -3.5687-4.9021 | 0.1162-1.5504  | 1.0-1.0        | nan-nan       | nan-nan       |
| IV                                                     | 0.7095-0.7806 | 0.3701-0.6107 | 0.3241-0.6603 | 0.3774-0.5128  | 0.5592-0.6762 | 0.294-0.5611  | nan-nan        | nan-nan        | 0.3165-0.662   | -0.2152-1.0636 | 0.2024-0.4268 | 0.4462-0.714  |
| bV                                                     | 0.7025-1.1309 | 1.0-1.0       | 1.0-1.0       | 1.0-1.0        | 0.6224-1.1776 | nan-nan       | 1.0-1.0        | 1.0-1.0        | nan-nan        | nan-nan        | 0.5581-1.2752 | nan-nan       |
| V                                                      | 0.7163-0.7726 | 0.323-0.4822  | 0.2321-0.4455 | 0.4165-0.5182  | 0.3753-0.4862 | 0.2755-0.4267 | -0.0087-0.2341 | -0.7713-1.2649 | 0.1083-0.4336  | -0.4816-1.1066 | 0.2598-0.4919 | 0.1498-0.492  |
| bVI                                                    | 0.6277-0.8127 | nan-nan       | nan-nan       | 0.2712-0.7666  | 0.6826-0.9676 | 0.2592-0.9908 | nan-nan        | 0.7301-1.0596  | 0.4271-0.7929  | -0.064-1.0908  | 0.29-0.6768   | 0.6868-0.9083 |
| VI                                                     | 0.571-0.7732  | 0.6635-0.8124 | 0.2781-0.7482 | 0.6161-0.7784  | 0.5475-0.7693 | 0.4893-0.7083 | -0.6861-1.7099 | nan-nan        | nan-nan        | nan-nan        | nan-nan       | 0.5313-1.102  |
| bVII                                                   | 0.6558-0.7739 | 0.1703-1.0869 | nan-nan       | 0.575-0.7611   | 0.3536-0.7467 | 0.4733-0.9577 | 0.321-1.0143   | -0.2576-1.203  | 0.2997-0.6407  | nan-nan        | 0.2731-0.5106 | 0.2035-0.4799 |
| VII                                                    | 0.6254-1.083  | nan-nan       | 0.6815-1.0685 | -2.4266-3.9266 | nan-nan       | 0.0908-1.2842 | -4.1398-5.3898 | nan-nan        | -1.2844-2.951  | nan-nan        | nan-nan       | nan-nan       |








